CSDP Network Summary Report for Elevation=0.0

Network path: D:\dsm2GisReference\csdpFiles\final\delta_2019Calib_navd88.cdn
DSM2 channels path: D:\delta\dsm2_v8.2beta_2_newGeomTest\common_input\channel_std_delta_grid_NAVD_20150129.inp
DSM2 output path: D:\delta\dsm2_v8.2beta_2_newGeomTest\studies\testGeom\output\historical_v82.hof

Channels.inp length: length specified for DSM2 in the DSM2 channels file above.
CSDP length: length calculated by the CSDP that will be used to replace the 'Channels.inp length'.
% change: the change in length CSDP vs Channels.inp
CSDP Average width
CSDP Volume: Channel volume calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Wetted Area: Wetted area calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Surface Area: Surface area calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Max Area Ratio: The maximum ratio of cross-sectional areas within a channel using CSDP cross-sections
DSM2 Volume: Channel volume calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Wetted Area: Wetted area calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Surface Area: Surface area calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Max Area Ratio: The maximum ratio of cross-sectional areas within a channel using virtual cross-sections
GIS 2m Volume: Channel volume calculated at specified elevation using CutFill operation with 2m DEM
GIS 2m Area: Channel 2D area calculated at specified elevation using CutFill operation with 2m DEM
GIS 10m Volume: Channel volume calculated at specified elevation using CutFill operation with 10m DEM
GIS 10m Area: Channel 2D area calculated at specified elevation using CutFill operation with 10m DEM
CSDP highest bottom elevation: The highest bottom elevation of all the cross-sections within the chanenl.
CSDP XS with no points: The indices of the cross-sections in the channel that have no points.
CSDP XS within 500.0 feet: The indices of the cross-sections in the channel that are within 500.0 feet of each other.
CSDP XS with Min area: The index of the cross-section in the channel that has the smallest area at the specified elevation
CSDP XS with Max area: The index of the cross-section in the channel that has the largest area at the specified elevation
CSDP XS with duplicate stations: The indices of the cross-sections in the channel that have duplicate station values.
CSDP XS with -dK: The indices of the cross-sections in the channel that have negative dConveyance at any elevation.
CSDP XS with -dK in intertidal zone: the indices of the cross-sections in the channel that have negative dConveyance in the intertidal zone.
(intertidal zone is assumed to be limited to the range -2.5 < Z < 17.5 ft NAVD88)

Channel	Channels.inp length	CSDP Length	% change	CSDP Average Width	CSDP Volume	CSDP Wetted Area	CSDP Surface Area	CSDP Max Area Ratio	DSM2 Volume	DSM2 Wetted Area	DSM2 Surface Area	DSM2 Max Area Ratio	GIS 2m Max Volume	GIS 2m Max Area	GIS 10m Max Volume	GIS 10m Max Area	DSM2-2m Vol	DSM2-10m Vol	2m Vol % diff	10m Vol % diff	CSDP Avg Width	2m Width Ratio	10m Width Ratio	2m Validity	10m Validity	Valid 2m Max Vol	Valid 10m Max Vol	DSM2-Valid 2m Max Vol	DSM2-Valid 10m Max Vol	Valid 2m Vol % diff	Valid 10m Vol % diff	CSDP Highest Bottom Elevation	CSDP XS with no points	CSDP XS within 500.0 feet	CSDP XS with Min area	CSDP XS with Max area	CSDP XS with duplicate stations	CSDP XS With -dk	CSDP XS with -dk in intertidal zone
261	7394.0	7394	0	219	12021808.8	1655510.0	1622884.7	1.32	11570216.0	1548339.5	1507354.7	1.17	null	null	13583940.6	1844932.5		-2013724.6		-14.8	219.5		6.7		true		13583940.6		-2013724.6		-14.8	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00	1	1,2	2	0			
262	5717.0	5718	0	174	4432393.5	1006277.3	993361.1	3.56	4149618.7	979894.5	967066.5	2.22	null	null	5292720.0	1049480.3		-1143101.3		-21.6	173.7		5.3		true		5292720.0		-1143101.3		-21.6	-5.63			1	2			
263	4293.0	4293	-0	170	5306730.3	747632.5	731386.3	1.49	5320913.7	748163.3	731451.0	1.07	null	null	6207264.8	924619.0		-886351.1		-14.3	170.4		5.2		true		6207264.8		-886351.1		-14.3	-8.61			1	0			
264	9400.0	7983	-15	532	28858534.2	4278391.8	4245553.4	2.22	28990582.4	4300919.6	4267531.7	1.89	1884818.3	125593.2	42214279.3	4985838.5	27105764.1	-13223696.9	1438.1	-31.3	531.8	81.0	16.2	false	true		42214279.3		-13223696.9		-31.3	-12.18			0	2		0,2	0,2
265	4265.0	3979	-7	573	14455067.1	2293221.9	2278300.3	2.03	14412599.2	2270709.6	2256189.6	1.73	null	null	13948423.6	1977328.4		464175.6		3.3	572.5		17.5		true		13948423.6		464175.6		3.3	-9.37			0	2	0	2	
266	4850.0	4317	-11	309	4041062.2	1334102.3	1332436.9	2.21	3979545.1	1349214.7	1347665.6	1.61	null	null	2990731.3	861112.0		988813.8		33.1	308.7		9.4		true		2990731.3		988813.8		33.1	-3.34			2	0			
267	4496.0	4494	-0	261	8416655.5	1187394.0	1172849.2	5.00	9443490.9	1273356.1	1258902.1	2.72	null	null	7793989.6	1103299.8		1649501.3		21.2	261.0		8.0		true		7793989.6		1649501.3		21.2	-6.03			0	1			
268	5552.0	8500	53	185	8922656.9	1590101.0	1569071.5	3.84	11290434.6	1688026.9	1660250.3	3.15	null	null	13471145.5	2380974.7		-2180710.8		-16.2	184.6		5.6		true		13471145.5		-2180710.8		-16.2	-4.94			0	2		1	
269	17063.0	13641	-20	294	58058368.3	4080217.2	4005867.0	2.40	57834343.3	4220572.3	4137549.6	2.23	29978787.4	1507247.4	59356927.1	3943893.0	27855555.9	-1522583.9	92.9	-2.6	293.7	44.8	9.0	false	true		59356927.1		-1522583.9		-2.6	-17.39			1	3			
270	3908.0	3908	-0	329	22573562.0	1330293.8	1287526.3	1.25	22581889.2	1357931.8	1313902.3	1.14	22386880.9	1211713.8	22694527.0	1235695.7	195008.3	-112637.8	0.9	-0.5	329.5	50.2	10.0	true	true	22386880.9	22694527.0	195008.3	-112637.8	0.9	-0.5	-19.24			1	3			
271	12975.0	12102	-7	177	16143156.8	2189284.1	2137231.2	14.13	16398132.8	2180324.3	2129574.9	5.92	null	null	23389738.1	3275454.8		-6991605.2		-29.9	176.6		5.4		true		23389738.1		-6991605.2		-29.9	-3.07			0	4			
272	14002.0	14003	0	216	36623895.8	3144359.5	3021977.1	2.69	35592836.9	3142223.3	3030189.9	2.52	2179.8	301.4	32400732.8	3391704.9	35590657.1	3192104.2	1632718.6	9.9	215.8	32.9	6.6	false	true		32400732.8		3192104.2		9.9	-8.10			2	0			
273	4983.0	4984	0	220	9654647.2	1121916.0	1095933.2	5.20	11323810.2	1179200.9	1149901.4	5.07	null	null	11439067.0	1390695.9		-115256.8		-1.0	219.9		6.7		true		11439067.0		-115256.8		-1.0	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00	0	0,1	3	2		3	3
274	12940.0	11171	-14	362	23487951.1	4098779.5	4041818.6	1.30	23519636.1	4096093.1	4039197.4	1.27	null	null	32277494.6	4644622.9		-8757858.5		-27.1	361.8		11.0		true		32277494.6		-8757858.5		-27.1	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00	1		2	3		0	0
275	18409.0	18408	-0	431	77546089.3	7993081.5	7928930.5	1.69	77654285.8	8325041.2	7973822.3	1.69	null	null	56048454.8	6394833.0		21605831.0		38.5	430.7		13.1		true		56048454.8		21605831.0		38.5	-12.34			0	3			
276	6850.0	6849	-0	541	46560433.7	3733377.8	3702035.5	1.88	53399667.2	4174461.9	4143121.6	1.00	51808582.0	3430239.7	58536400.7	3968649.9	1591085.2	-5136733.4	3.1	-8.8	540.5	82.4	16.5	false	true		58536400.7		-5136733.4		-8.8	-14.79			0	1			
277	10105.0	9576	-5	758	98087738.7	7352772.6	7257714.3	1.12	98075032.4	7012042.2	6931881.0	1.11	null	null	118513555.2	8936189.8		-20438522.9		-17.2	757.9		23.1		true		118513555.2		-20438522.9		-17.2	-21.97			3	1		0,1,2,3	0,1
278	5854.0	5863	0	870	80901749.4	5138665.7	5100914.4	1.23	80968848.0	5033793.1	4995239.2	1.05	8799048.4	390557.3	79634798.6	4832991.1	72169799.6	1334049.3	820.2	1.7	870.0	132.6	26.5	false	true		79634798.6		1334049.3		1.7	-23.27			0	1		2	
279	8937.0	8994	1	763	156387279.8	6956675.6	6864286.9	1.47	151645960.0	6824379.0	6727427.9	1.13	172864715.7	7390450.7	172766630.8	7361431.2	-21218755.8	-21120670.9	-12.3	-12.2	763.2	116.3	23.3	true	true	172864715.7	172766630.8	-21218755.8	-21120670.9	-12.3	-12.2	-27.84			0	4			
280	11364.0	10434	-8	383	35443819.2	4031278.0	3993706.2	1.17	35497391.8	4019802.4	3980646.6	1.16	34714051.7	3987938.8	34613539.7	3976184.7	783340.1	883852.1	2.3	2.6	382.8	58.3	11.7	true	true	34714051.7	34613539.7	783340.1	883852.1	2.3	2.6	-14.84			4	0		0,4	0
281	3300.0	6255	90	256	6541085.0	1607868.5	1600079.5	1.56	6376151.5	1517047.9	1509157.5	1.38	null	null	null	null					255.8											-5.05			0	2		1	
282	3300.0	3805	15	256	15226306.3	1067057.3	973711.1	4.81	14979946.1	1059599.7	969255.1	1.59	null	null	null	null					255.9											-9.79			0	2		1,2	2
283	7500.0	7619	2	302	32797070.7	2386057.1	2303050.2	1.43	33062102.8	2602611.1	2528150.4	1.43	null	null	27174697.0	1960106.2		5887405.8		21.7	302.3		9.2		true		27174697.0		5887405.8		21.7	-18.37			2	4			
284	6063.0	6353	5	1142	222461692.8	7337816.1	7253648.0	1.25	218536280.6	7135982.8	7048519.5	1.08	null	null	225274484.2	6757576.4		-6738203.6		-3.0	1141.7		34.8		true		225274484.2		-6738203.6		-3.0	-36.63			1	0			
285	4500.0	6365	41	1265	92649622.3	8060066.8	8052627.5	1.54	92923164.2	8237507.6	8149694.6	1.25	null	null	107084235.1	10394698.2		-14161070.9		-13.2	1265.2		38.6		true		107084235.1		-14161070.9		-13.2	-14.50			2	0		0	
286	5374.0	6252	16	1290	100929875.6	8078472.4	8065278.0	1.32	98862876.9	11183479.2	7908523.9	1.16	null	null	92730292.7	10639038.8		6132584.1		6.6	1290.0		39.3		true		92730292.7		6132584.1		6.6	-24.47			0	3		0,1	0
287	6123.0	6181	1	1374	237909451.9	8573476.8	8492960.1	1.47	230833916.0	8072710.6	7986187.1	1.08	null	null	243511949.0	8938342.6		-12678033.0		-5.2	1374.1		41.9		true		243511949.0		-12678033.0		-5.2	-41.20			2	0		0	
288	10323.0	10765	4	936	300494890.0	10238186.1	10077751.9	1.42	301526273.6	10173321.7	10005934.0	1.41	null	null	265188641.3	9255877.6		36337632.3		13.7	936.1		28.5		true		265188641.3		36337632.3		13.7	-38.77			0	4		4	
289	7760.0	6351	-18	532	74168810.1	3536375.7	3378962.9	1.70	74006571.4	3526492.8	3368901.3	1.06	null	null	63349910.3	3202260.3		10656661.2		16.8	532.0		16.2		true		63349910.3		10656661.2		16.8	-38.00			1	0			
290	6226.0	3777	-39	2922	404903663.6	11079826.4	11035052.8	1.11	399900096.1	10940309.2	10863143.4	1.00	null	null	null	null					2921.9											-57.59			1	0		0,1,2	
291	4657.0	6525	40	3798	818751006.8	24825845.3	24779714.4	1.47	818625642.1	24971953.2	24862012.1	1.23	null	null	null	null					3797.9											-56.02			0	2		0,1	
292	3912.0	5757	47	868	18627483.4	4999728.1	4998218.9	15.42	19533171.7	5163507.6	5076904.8	1.53	null	null	null	null					868.2											-4.85			0	3			
293	2758.0	2642	-4	1074	29198136.3	2851571.1	2838092.0	1.39	29405443.6	2955548.0	2809657.1	1.09	null	null	null	null					1074.3											-12.03			0	1			
294	4836.0	5587	16	1027	27663742.9	5740705.3	5738576.3	1.25	28557013.6	5933605.2	5923555.9	1.23	null	null	null	null					1027.2											-6.62			2	1			
295	2300.0	1603	-30	501	9599906.3	547867.1	534429.3	1.00	9597285.8	547718.3	534283.6	1.00	null	null	3609338.9	243264.1		5987946.9		165.9	500.5		15.3		true		3609338.9		5987946.9		165.9	-31.57			0	0			
296	3000.0	6619	121	411	1149230.9	1669368.6	1669190.3	1.00	1147664.1	1669301.9	1669123.2	1.00	null	null	null	null					410.9											-1.23			0	0		0	0
297	5030.0	5339	6	11383	137424302.9	37069732.7	37069405.7	1.00	137463672.6	37068384.8	37068060.3	1.00	null	null	null	null					11383.0											-5.09			0	0			
299	5322.0	4304	-19	415	33639951.5	1917138.5	1787240.0	1.81	34252445.1	1911608.8	1788174.7	1.18	null	null	25840542.9	1745904.6		8411902.2		32.6	415.2		12.7		true		25840542.9		8411902.2		32.6	-26.85			2	0		1,2	2
300	4759.0	6756	42	1264	224797585.0	8575029.7	8538759.7	1.17	223422244.2	8452805.7	8413813.3	1.01	null	null	252564589.5	9410877.8		-29142345.4		-11.5	1263.8		38.5		true		252564589.5		-29142345.4		-11.5	-35.73			0	2			
301	3000.0	9304	210	372	3013645.0	2039161.1	2036522.4	1.00	3006278.2	2035120.8	2032479.5	1.00	null	null	null	null					372.2											-2.55			0	0			
307	13500.0	7035	-48	421	13416462.7	2395544.1	2380915.4	1.00	13295196.5	2241036.7	2223423.4	1.01	null	null	13532381.1	2237814.8		-237184.7		-1.8	421.2		12.8		true		13532381.1		-237184.7		-1.8	-12.05			0	0			
308	12500.0	20055	60	262	35590831.5	3375501.5	3266665.7	1.00	36151731.9	4110423.2	4015913.8	1.05	null	null	2512111.2	423021.3		33639620.8		1339.1	262.0		8.0		true		2512111.2		33639620.8		1339.1	-13.69			0	0			
309	7593.0	8441	11	589	93816585.8	5040935.4	4975617.3	1.36	89802877.7	5050392.4	4990978.6	1.25	null	null	90818460.8	4349692.0		-1015583.1		-1.1	589.5		18.0		true		90818460.8		-1015583.1		-1.1	-21.79			2	4			
310	8100.0	11134	37	562	131958367.0	6371308.4	6254049.3	1.81	129683070.3	6330707.6	6217774.6	1.27	null	null	127262666.3	6471256.7		2420404.0		1.9	561.7		17.1		true		127262666.3		2420404.0		1.9	-16.31			0	6		6	
311	18638.0	17484	-6	372	30782055.6	6539473.8	6502952.6	6.35	30748227.9	6626176.8	6592029.4	5.60	null	null	31518369.8	6657472.1		-770141.8		-2.4	371.9		11.3		true		31518369.8		-770141.8		-2.4	-4.03			5	7	7	6	6
312	11385.0	12548	10	291	10972803.7	3667217.9	3646641.1	2.07	11529949.2	3746334.0	3724593.9	1.15	null	null	15896912.1	3448753.6		-4366963.0		-27.5	290.6		8.9		true		15896912.1		-4366963.0		-27.5	-4.29			2	1		0,1,2,3	0,1,2,3
313	15774.0	13194	-16	535	67342917.3	7246082.8	7052937.3	1.51	67967554.9	7250362.3	7057587.0	1.45	null	null	92153215.2	11407581.2		-24185660.3		-26.2	534.5		16.3		true		92153215.2		-24185660.3		-26.2	-14.84			1	3		0,1,2,3,4	0,1,2,3,4
314	8130.0	7925	-3	888	68280230.9	7140639.6	7038006.0	1.91	68179536.0	7109598.6	7006672.3	1.08	null	null	76225296.7	5857714.4		-8045760.7		-10.6	888.1		27.1		true		76225296.7		-8045760.7		-10.6	-18.10			2	0		1,2	1
315	7400.0	4780	-35	483	13585083.4	2332828.6	2307572.9	3.58	13870373.9	2372439.6	2346526.4	1.77	2213.4	1679.2	24177785.6	2745870.9	13868160.5	-10307411.7	626559.8	-42.6	482.8	73.6	14.7	false	true		24177785.6		-10307411.7		-42.6	-9.74			0	2	2	0,1,2	0,1,2
316	2755.0	2146	-22	454	16574538.9	1009670.0	973067.1	1.47	15684417.6	999934.5	960019.2	1.19	113556.2	11151.4	18435544.7	1030105.2	15570861.3	-2751127.1	13712.0	-14.9	453.5	69.1	13.8	false	true		18435544.7		-2751127.1		-14.9	-23.86		0,1,2	1	0		1,2	
317	15422.0	15422	-0	278	14038668.4	4294977.2	4284724.1	1.56	15298982.1	4455213.3	4442294.1	1.51	null	null	20140114.6	4544518.6		-4841132.5		-24.0	277.8		8.5		true		20140114.6		-4841132.5		-24.0	-5.01			0	2		0	0
318	5030.0	5216	4	560	10843225.8	1878012.3	1859151.2	1.00	10844392.8	1877926.8	1859066.4	1.00	null	null	9772601.6	1805106.0		1071791.2		11.0	560.3		17.1		true		9772601.6		1071791.2		11.0	-11.03			0	0		0	0
319	11124.0	11124	0	520	62578181.9	5844098.4	5781523.3	1.30	62733362.5	5854121.1	5791272.1	1.30	34525434.7	2559741.5	63791851.1	5534797.4	28207927.8	-1058488.6	81.7	-1.7	519.7	79.2	15.8	false	true		63791851.1		-1058488.6		-1.7	-18.65			1	0		1	
320	15797.0	14743	-7	644	114897540.7	9544388.5	9488017.1	6.49	114669471.0	9513667.5	9447691.5	5.08	null	null	48897369.3	7309764.5		65772101.7		134.5	643.6		19.6		true		48897369.3		65772101.7		134.5	-7.47			0	2		0	0
321	7625.0	8150	7	623	80346244.8	5116897.0	5075769.9	2.09	73356860.8	4821199.9	4746997.5	1.73	null	null	46713614.2	4332469.8		26643246.6		57.0	622.8		19.0		true		46713614.2		26643246.6		57.0	-17.58			3	1		3	
322	10351.0	7585	-27	410	33184221.9	3158126.1	3112538.5	1.46	35314171.6	3304894.3	3260929.6	1.59	24184633.3	1986886.8	44357002.8	3873927.6	11129538.3	-9042831.2	46.0	-20.4	410.3	62.5	12.5	false	true		44357002.8		-9042831.2		-20.4	-16.47			0	2		1	1
323	6101.0	5470	-10	313	19628018.1	1738069.3	1711954.5	1.15	19874371.2	1817199.9	1790698.1	1.11	22422453.1	1755893.5	22509144.5	1769585.2	-2548082.0	-2634773.4	-11.4	-11.7	313.0	47.7	9.5	true	true	22422453.1	22509144.5	-2548082.0	-2634773.4	-11.4	-11.7	-16.26			0	2			
324	5416.0	5816	7	433	24959313.8	2557076.8	2519959.7	1.09	24137087.7	2328390.4	2291944.8	1.09	29769709.4	2818979.3	29674210.5	2811530.7	-5632621.7	-5537122.8	-18.9	-18.7	433.3	66.0	13.2	true	true	29769709.4	29674210.5	-5632621.7	-5537122.8	-18.9	-18.7	-18.81			1	2			
325	9962.0	9202	-8	529	68640347.3	4946869.4	4869700.0	1.62	71227219.1	4792983.9	4710623.2	1.21	90911013.8	5929358.9	90758011.5	5917992.2	-19683794.7	-19530792.3	-21.7	-21.5	529.2	80.6	16.1	true	true	90911013.8	90758011.5	-19683794.7	-19530792.3	-21.7	-21.5	-18.41			0	1		2	
326	8225.0	8225	-0	427	80176258.5	3602397.4	3512666.7	1.32	82358263.6	3903854.3	3811177.3	1.10	78136692.1	3222238.0	78123628.6	3217329.7	4221571.5	4234635.0	5.4	5.4	427.1	65.1	13.0	true	true	78136692.1	78123628.6	4221571.5	4234635.0	5.4	5.4	-25.58			2	1			
327	10941.0	9797	-10	808	119993415.6	8055738.0	7916214.3	1.27	116035369.6	7506994.7	7366284.9	1.12	159178910.1	9699608.6	159163504.0	9684280.8	-43143540.5	-43128134.4	-27.1	-27.1	808.0	123.1	24.6	true	true	159178910.1	159163504.0	-43143540.5	-43128134.4	-27.1	-27.1	-23.77			0	2		1	1
328	7158.0	6917	-3	708	88565121.3	4979452.2	4900634.0	1.09	88802597.8	5102784.9	5027998.2	1.04	114865242.7	6099299.4	114524458.3	6079450.7	-26062644.8	-25721860.5	-22.7	-22.5	708.5	108.0	21.6	true	true	114865242.7	114524458.3	-26062644.8	-25721860.5	-22.7	-22.5	-29.48			2	0		0,1	0,1
329	4845.0	4786	-1	253	2443869.0	959135.6	956710.0	1.00	2964945.0	1024478.6	1021611.0	1.85	null	null	4117058.4	1053785.8		-1152113.4		-28.0	253.1		7.7		true		4117058.4		-1152113.4		-28.0	-2.79			0	0			
330	4591.0	4484	-2	523	7769989.0	1582667.1	1575784.5	1.00	6846703.8	1467627.0	1461515.6	1.01	1116929.6	213340.5	6908809.8	1799724.1	5729774.1	-62106.0	513.0	-0.9	522.9	79.7	15.9	true	true	1116929.6	6908809.8	5729774.1	-62106.0	513.0	-0.9	-5.19			0	0			
331	2145.0	2039	-5	462	5894938.5	944403.5	941465.9	1.33	6039434.2	937349.7	934142.7	1.33	6116414.4	870282.8	6107384.8	865417.6	-76980.2	-67950.6	-1.3	-1.1	461.8	70.4	14.1	true	true	6116414.4	6107384.8	-76980.2	-67950.6	-1.3	-1.1	-8.05			2	1			
332	7103.0	7093	-0	297	17940409.9	2126708.8	2105066.2	1.04	17956528.5	2119223.3	2097770.9	1.01	17796900.4	2059306.3	17816685.1	2063439.6	159628.1	139843.3	0.9	0.8	296.8	45.2	9.0	true	true	17796900.4	17816685.1	159628.1	139843.3	0.9	0.8	-9.68			0	1			
333	3369.0	3316	-2	197	2101099.7	658463.1	653689.1	3.52	2103493.4	663671.6	659288.8	2.47	2171747.1	654100.7	2164554.4	650139.6	-68253.7	-61061.1	-3.1	-2.8	197.1	30.0	6.0	true	true	2171747.1	2164554.4	-68253.7	-61061.1	-3.1	-2.8	-4.85			2	0			
334	12296.0	12116	-1	91	7180989.7	1159752.0	1097175.6	1.54	7576772.7	1231310.8	1168890.8	2.10	null	null	6993546.6	1304584.7		583226.1		8.3	90.6		2.8		false							-5.59			2	3			
335	7128.0	7152	0	121	5307652.2	895077.0	865103.9	1.74	5283640.4	894653.5	864704.5	1.44	null	null	5797155.2	866494.0		-513514.8		-8.9	121.0		3.7		true		5797155.2		-513514.8		-8.9	-6.62			1	0			
336	5953.0	5969	0	104	4779057.8	656222.6	623351.4	1.40	4765750.2	633142.2	598598.6	1.40	1855961.1	248172.5	5677352.1	750243.8	2909789.1	-911601.9	156.8	-16.1	104.4	15.9	3.2	false	true		5677352.1		-911601.9		-16.1	-9.61			1	3			
337	7882.0	7960	1	132	6058618.1	1074640.3	1052202.8	1.81	6070700.2	1074253.2	1051660.5	1.08	6077486.5	1118584.5	6078075.0	1119445.6	-6786.3	-7374.8	-0.1	-0.1	132.2	20.1	4.0	true	true	6077486.5	6078075.0	-6786.3	-7374.8	-0.1	-0.1	-6.79			0	2			
338	9962.0	9888	-1	133	14256381.0	1396728.4	1319700.2	2.22	14193508.7	1395084.6	1318302.6	1.62	13626658.6	1425011.2	13574983.4	1422987.6	566850.0	618525.2	4.2	4.6	133.5	20.3	4.1	true	true	13626658.6	13574983.4	566850.0	618525.2	4.2	4.6	-12.69			0	2			
339	5963.0	6029	1	210	10646408.3	1290756.2	1266045.6	1.61	10666341.2	1288836.5	1264081.0	1.55	9245555.9	1212445.7	9237458.1	1208786.0	1420785.3	1428883.1	15.4	15.5	210.0	32.0	6.4	true	true	9245555.9	9237458.1	1420785.3	1428883.1	15.4	15.5	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00	2		3	0			
340	7356.0	7024	-5	260	12617155.7	1841874.7	1823722.7	1.15	11703881.7	1826542.1	1811808.8	1.15	12543233.0	1821596.3	12580517.4	1827710.2	-839351.4	-876635.8	-6.7	-7.0	259.6	39.6	7.9	true	true	12543233.0	12580517.4	-839351.4	-876635.8	-6.7	-7.0	-11.29			0	1			
341	7139.0	7139	0	328	26508842.4	2372288.8	2340780.1	1.73	28264197.8	2440977.5	2405589.8	1.08	28408984.9	2630223.5	28360003.9	2621009.7	-144787.0	-95806.1	-0.5	-0.3	327.9	50.0	10.0	true	true	28408984.9	28360003.9	-144787.0	-95806.1	-0.5	-0.3	-11.59			1	2			
342	7380.0	7418	1	428	41230172.9	3230111.7	3177689.5	1.50	40848604.7	3210732.0	3153044.8	1.24	28476077.0	2434492.8	28590704.6	2440176.1	12372527.7	12257900.1	43.4	42.9	428.4	65.3	13.1	true	true	28476077.0	28590704.6	12372527.7	12257900.1	43.4	42.9	-17.60			0	1		1	1
343	4443.0	4663	5	387	29035690.3	1849266.9	1804980.0	1.29	28875579.4	1865930.2	1822800.8	1.25	28272757.2	1784353.2	28339145.2	1786807.4	602822.1	536434.2	2.1	1.9	387.1	59.0	11.8	true	true	28272757.2	28339145.2	602822.1	536434.2	2.1	1.9	-17.50			2	1			
344	7088.0	7052	-1	449	46497710.0	3212525.6	3163090.2	1.51	46103709.6	3258228.9	3211461.9	1.30	50261155.1	4135318.2	50087706.5	4117191.8	-4157445.6	-3983997.0	-8.3	-8.0	448.5	68.4	13.7	true	true	50261155.1	50087706.5	-4157445.6	-3983997.0	-8.3	-8.0	-20.74			0	3		2	2
345	8752.0	9287	6	660	51444116.1	6161502.2	6133807.0	1.45	55228722.7	7088371.0	7057069.3	1.09	48171721.3	5647560.0	48147947.7	5644589.2	7057001.4	7080774.9	14.6	14.7	660.5	100.7	20.1	true	true	48171721.3	48147947.7	7057001.4	7080774.9	14.6	14.7	-10.95			1	2		0	
346	8189.0	8180	-0	699	51678894.1	5757251.7	5717595.6	1.16	50985334.5	5852934.3	5807183.8	1.02	50003617.0	5445543.1	49990757.4	5448686.2	981717.5	994577.0	2.0	2.0	699.0	106.5	21.3	true	true	50003617.0	49990757.4	981717.5	994577.0	2.0	2.0	-10.19			0	3			
347	10249.0	8427	-18	680	56000453.1	5790368.1	5726604.9	1.27	54691564.9	6080744.2	6026457.3	1.27	54679930.7	5071088.6	54728661.4	5080560.8	11634.3	-37096.4	0.0	-0.1	679.6	103.6	20.7	true	true	54679930.7	54728661.4	11634.3	-37096.4	0.0	-0.1	-12.47			1	2			
348	7902.0	7879	-0	753	53058750.3	5994708.8	5930970.1	1.31	53295773.8	5908315.1	5843401.1	1.29	59704067.0	5305612.4	59930226.7	5313061.0	-6408293.2	-6634452.9	-10.7	-11.1	752.8	114.7	22.9	true	true	59704067.0	59930226.7	-6408293.2	-6634452.9	-10.7	-11.1	-12.29			1	2			
349	9672.0	9638	-0	693	87893340.6	6818083.8	6677443.0	1.58	88392840.9	6510243.2	6360931.5	1.43	89667943.5	7251165.8	89287532.2	7198896.3	-1275102.6	-894691.3	-1.4	-1.0	692.8	105.6	21.1	true	true	89667943.5	89287532.2	-1275102.6	-894691.3	-1.4	-1.0	-12.14			0	2			
350	5905.0	5905	-0	178	4533815.9	912407.5	904041.6	1.00	4813559.1	939636.1	931446.1	1.24	1141105.3	222296.1	2766591.7	647986.8	3672453.9	2046967.4	321.8	74.0	178.0	27.1	5.4	false	true		2766591.7		2046967.4		74.0	-6.29			0	0			
351	10417.0	10403	-0	142	8751844.6	1491433.4	1473297.3	3.61	8911149.2	1506256.1	1487857.1	3.60	9260397.0	1640332.2	9284681.2	1665175.3	-349247.8	-373532.0	-3.8	-4.0	141.6	21.6	4.3	true	true	9260397.0	9284681.2	-349247.8	-373532.0	-3.8	-4.0	-5.89			4	3			
352	6066.0	6066	0	217	8239497.7	1330927.3	1319232.1	3.62	8241743.9	1334772.0	1323111.5	1.59	7515239.1	1237547.1	7557663.7	1241077.7	726504.8	684080.2	9.7	9.1	217.5	33.1	6.6	true	true	7515239.1	7557663.7	726504.8	684080.2	9.7	9.1	-5.22			0	2			
353	8793.0	8745	-1	279	26046877.6	2478605.8	2442092.3	2.15	25807032.9	2450053.4	2413203.6	1.87	23290159.2	2460799.8	23319403.9	2461703.9	2516873.7	2487629.1	10.8	10.7	279.3	42.6	8.5	true	true	23290159.2	23319403.9	2516873.7	2487629.1	10.8	10.7	-13.40			1	2		2	
354	10390.0	10390	-0	201	18683359.1	2121469.9	2090297.1	1.23	18805080.0	2237140.1	2207572.8	1.35	7238953.9	853534.2	11603409.7	1999932.6	11566126.1	7201670.3	159.8	62.1	201.2	30.7	6.1	false	true		11603409.7		7201670.3		62.1	-11.97			0	1			
